date,portfolio,scope,nav_usd,daily_net_cf_usd,daily_return_twr,cumulative_twr,mtd_return,qtd_return,ytd_return,itd_return,irr_annualized
2025-09-24,FGI,equity_sub,2796944.70658988,0.0,0.0031431827,0.3798619594,0.020752813,0.0949549289,0.3798619594,0.3798619594,0.3165614429
2025-09-25,FGI,equity_sub,2781989.8459475,0.0,-0.005346856,0.3724840361,0.0152949947,0.0891003625,0.3724840361,0.3724840361,0.3165614429
2025-09-26,FGI,equity_sub,2766674.45238722,0.0,-0.0055051939,0.3649282454,0.0097055989,0.0831046538,0.3649282454,0.3649282454,0.3165614429
2025-09-27,FGI,equity_sub,2766674.45238722,0.0,0.0,0.3649282454,0.0097055989,0.0831046538,0.3649282454,0.3649282454,0.3165614429
2025-09-28,FGI,equity_sub,2766674.45238722,0.0,0.0,0.3649282454,0.0097055989,0.0831046538,0.3649282454,0.3649282454,0.3165614429
2025-09-29,FGI,equity_sub,2799898.94814787,0.0,0.0120088201,0.3813194231,0.0218309718,0.0961114628,0.3813194231,0.3813194231,0.3165614429
2025-09-30,FGI,equity_sub,2803327.7388292,0.0,0.0012246123,0.3830110039,0.0230823185,0.0974537743,0.3830110039,0.3830110039,0.3165614429
2025-10-01,FGI,equity_sub,2803702.27395067,0.0,0.0001336038,0.3831957793,0.0001336038,0.0001336038,0.3831957793,0.3831957793,0.3165614429
2025-10-02,FGI,equity_sub,2829151.70835479,0.0,0.0090770816,0.3957511603,0.0092118981,0.0092118981,0.3957511603,0.3957511603,0.3165614429
2025-10-03,FGI,equity_sub,2817858.81761644,0.0,-0.0039916172,0.3901798559,0.0051835105,0.0051835105,0.3901798559,0.3901798559,0.3165614429
2025-10-04,FGI,equity_sub,2817858.81761644,0.0,0.0,0.3901798559,0.0051835105,0.0051835105,0.3901798559,0.3901798559,0.3165614429
2025-10-05,FGI,equity_sub,2817858.81761644,0.0,0.0,0.3901798559,0.0051835105,0.0051835105,0.3901798559,0.3901798559,0.3165614429
2025-10-06,FGI,equity_sub,2805545.96941281,0.0,-0.004369576,0.3841053594,0.0007912848,0.0007912848,0.3841053594,0.3841053594,0.3165614429
2025-10-07,FGI,equity_sub,2804987.11109012,0.0,-0.0001991977,0.3838296488,0.0005919295,0.0005919295,0.3838296488,0.3838296488,0.3165614429
2025-10-08,FGI,equity_sub,2796870.02928032,0.0,-0.0028938036,0.3798251176,-0.0023035871,-0.0023035871,0.3798251176,0.3798251176,0.3165614429
2025-10-09,FGI,equity_sub,2808330.23307493,0.0,0.0040975103,0.3854789652,0.0017844843,0.0017844843,0.3854789652,0.3854789652,0.3165614429
2025-10-10,FGI,equity_sub,2781256.72018699,0.0,-0.0096404307,0.3721223513,-0.0078731496,-0.0078731496,0.3721223513,0.3721223513,0.3165614429
2025-10-11,FGI,equity_sub,2781256.72018699,0.0,0.0,0.3721223513,-0.0078731496,-0.0078731496,0.3721223513,0.3721223513,0.3165614429
2025-10-12,FGI,equity_sub,2781256.72018699,0.0,0.0,0.3721223513,-0.0078731496,-0.0078731496,0.3721223513,0.3721223513,0.3165614429
2025-10-13,FGI,equity_sub,2750635.73327157,0.0,-0.0110097664,0.3570156047,-0.0187962345,-0.0187962345,0.3570156047,0.3570156047,0.3165614429
2025-10-14,FGI,equity_sub,2716663.90689537,0.0,-0.0123505363,0.3402557343,-0.0309146272,-0.0309146272,0.3402557343,0.3402557343,0.3165614429
2025-10-15,FGI,equity_sub,2755110.18883739,0.0,0.01415202,0.3592230602,-0.0172001116,-0.0172001116,0.3592230602,0.3592230602,0.3165614429
2025-10-16,FGI,equity_sub,2763882.22356759,0.0,0.0031839143,0.36355071,-0.014070961,-0.014070961,0.36355071,0.36355071,0.3165614429
2025-10-17,FGI,equity_sub,2732201.13476784,0.0,-0.0114625321,0.3479209662,-0.0253722043,-0.0253722043,0.3479209662,0.3479209662,0.3165614429
2025-10-18,FGI,equity_sub,2732201.13476784,0.0,0.0,0.3479209662,-0.0253722043,-0.0253722043,0.3479209662,0.3479209662,0.3165614429
2025-10-19,FGI,equity_sub,2732201.13476784,0.0,0.0,0.3479209662,-0.0253722043,-0.0253722043,0.3479209662,0.3479209662,0.3165614429
2025-10-20,FGI,equity_sub,2781838.47441456,0.0,0.0181675276,0.3724093576,-0.0076656269,-0.0076656269,0.3724093576,0.3724093576,0.3165614429
2025-10-21,FGI,equity_sub,2788343.75153286,0.0,0.0023384813,0.3756187111,-0.0053450715,-0.0053450715,0.3756187111,0.3756187111,0.3165614429
2025-10-22,FGI,equity_sub,2769172.22680306,0.0,-0.0068755959,0.3661605128,-0.0121839168,-0.0121839168,0.3661605128,0.3661605128,0.3165614429
2025-10-23,FGI,equity_sub,2785424.96403547,0.0,0.0058691681,0.3741787385,-0.0063862582,-0.0063862582,0.3741787385,0.3741787385,0.3165614429
