date,portfolio,scope,position_count,total_market_value_usd,total_cost_basis_usd,total_unrealized_pnl_usd,total_realized_pnl_usd,total_pnl_usd,daily_return_pct
2025-05-29,FGI,equity_sub,15,2519523.8863994,2205706.11595599,313817.77044342,167011.13517888,480828.9056223,0.00608647
2025-05-30,FGI,equity_sub,15,2487605.8143572,2203846.70277119,283759.11158601,166870.34457014,450629.45615614,-0.0126683
2025-05-31,FGI,equity_sub,15,2487605.8143572,2203846.70277119,283759.11158601,166870.34457014,450629.45615614,0.0
2025-06-01,FGI,equity_sub,15,2487605.8143572,2203846.70277119,283759.11158601,166870.34457014,450629.45615614,0.0
2025-06-02,FGI,equity_sub,17,2677108.35775198,2396886.43795469,280221.91979733,166849.07288397,447070.99268128,0.07617869
2025-06-03,FGI,equity_sub,17,2707428.85406158,2396122.34959484,311306.50446675,166795.8841169,478102.38858364,0.01132584
2025-06-04,FGI,equity_sub,17,2717985.78956569,2395951.49393163,322034.29563404,166783.99072531,488818.28635935,0.00389925
2025-06-05,FGI,equity_sub,17,2733207.26127284,2396385.35570174,336821.90557109,166814.19217039,503636.09774147,0.00560028
2025-06-06,FGI,equity_sub,17,2723840.33252791,2395633.86859789,328206.46393001,166761.88058626,494968.34451626,-0.00342708
2025-06-07,FGI,equity_sub,17,2723840.33252791,2395633.86859789,328206.46393001,166761.88058626,494968.34451626,0.0
2025-06-08,FGI,equity_sub,17,2723840.33252791,2395633.86859789,328206.46393001,166761.88058626,494968.34451626,0.0
2025-06-09,FGI,equity_sub,17,2746168.40925708,2395420.16039382,350748.24886326,166747.00419697,517495.25306023,0.00819728
2025-06-10,FGI,equity_sub,17,2747905.00480112,2395231.09832171,352673.90647944,166733.84344353,519407.74992297,0.00063237
2025-06-11,FGI,equity_sub,17,2768947.83295592,2395148.75031678,373799.08263916,166728.11113679,540527.19377594,0.00765777
2025-06-12,FGI,equity_sub,17,2738046.63265812,2394901.42999164,343145.20266651,166710.89498241,509856.09764891,-0.01115991
2025-06-13,FGI,equity_sub,17,2748445.37569129,2394797.79669094,353647.57900035,166703.68099016,520351.25999051,0.00379787
2025-06-14,FGI,equity_sub,17,2748445.37569129,2394797.79669094,353647.57900035,166703.68099016,520351.25999051,0.0
2025-06-15,FGI,equity_sub,17,2748445.37569129,2394797.79669094,353647.57900035,166703.68099016,520351.25999051,0.0
2025-06-16,FGI,equity_sub,17,2756414.70293543,2394718.24938282,361696.45355259,166698.14364204,528394.59719466,0.00289958
2025-06-17,FGI,equity_sub,17,2735649.59413221,2394596.40967318,341053.184459,166689.66228796,507742.84674695,-0.00753338
2025-06-18,FGI,equity_sub,17,2717226.91120007,2394596.40967318,322630.50152689,166689.66228796,489320.16381486,-0.0067343
2025-06-19,FGI,equity_sub,17,2672373.17600465,2394568.96096477,277804.21503989,166687.75156267,444491.96660255,-0.01650717
2025-06-20,FGI,equity_sub,17,2692474.47262231,2394626.66095808,297847.81166422,166691.76810272,464539.57976696,0.00752189
